naam,latitude,longitude,provincie,honden_toegestaan,stroom,waterfront,aantal_plekken,prijs,website,telefoon,openingstijden,afbeelding
Uitdam,52.4266757,5.0740884,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.europarcs.nl/vakantieparken/nederland/noord-holland/camping-en-jachthaven-uitdam,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Vinkeloord,51.704722,5.430833,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
EuroParcs De Zanding,52.088145,5.7779883,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.europarcs.nl/vakantieparken/nederland/gelderland/de-zanding,+31 88 070 8090,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
"Camping, De Vaarselhof",51.3871568,5.6676795,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Veenmeer,53.0839542,6.6393911,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingveenmeer.nl,+31 592 543 625,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Ponderosa,51.4692506,4.8796122,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.ponderosa.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Paddock,51.4527207,4.9170277,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://depaddock.nl/,+31 13 507 9072,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kievit,51.4291854,4.9575251,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurkampeerterrein Het Leenderbos,51.3482887,5.5209639,North Brabant,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.natuurkampeerterreinen.nl/terreinen/noord-brabant/het-leenderbos/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Greidpôlle,53.287842,6.0876506,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdegreidpolle.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Vakantiepark Herperduin,51.7622431,5.6214785,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Clementie,51.9861199,5.0572959,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Jachthaven 'De Lemsterpoort',52.893288,5.6448517,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Seedune,53.4853241,6.1608075,Friesland,Onbekend,Ja,Nee,Onbekend,Onbekend,http://www.seedune.nl/,+31 519 531 398,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Internationaal Priem,51.4945732,4.6021342,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.internationaalpriem.nl,+31 76 597 2632,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Surfcamp Veluwemeer,52.4152772,5.7472654,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.surfcamp-veluwemeer.de,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kienehoef,51.5773721,5.4451886,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kienehoef.nl/nl/camping,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Vest,52.7085632,5.2860006,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdevest.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurcamping De Pomp,53.3288687,6.1876279,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kuilart,52.9033483,5.4670912,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kuilart.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Eekhoorn,51.6127338,4.8666346,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdeeekhoorn.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Boeren camping,51.7910025,5.0927051,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Waalstrand,51.875985,5.9890121,Gelderland,Onbekend,Ja,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Waterjuffer,52.2097638,6.286021,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdewaterjuffer.nl,+31 573 431 359,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping 't Laageind,51.5285752,5.3369097,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.laageind.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Boxbergen,52.3269452,6.1840042,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Linderbeek,52.4455801,6.4983753,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.linderbeek.nl/,+31 546 671 422,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping,51.8105232,4.7504001,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurkampeerterrein Twilhaar,52.3655865,6.4149744,Overijssel,Onbekend,Nee,Nee,30,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Mounewetter,53.0988455,5.4707078,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.mounewetter.nl/,+31 517 531 967,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Mini camping 'de Hartjens',51.8873384,6.2991583,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.dehartjens.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Maarsdijk,53.2234293,6.3707402,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,http://www.maarsdijk.nl/,+31 594 504 661,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Strandcamping Terherne,53.0395786,5.7694192,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.strandcamping.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
MarinaPark Bad Nederrijn,51.9631784,5.40511,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.marinaparken.nl/marinapark-bad-nederrijn,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Oppertje,52.4859152,5.4163631,Flevoland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.oppertje.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Ekenstein,53.3185375,6.81198,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingekenstein.nl/,+31 596 624 467,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Buytenplaets Suydersee,52.5206091,5.4988737,Flevoland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.buytenplaets-suydersee.nl/,+31 6 10943935,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Residence Waterweelde,51.7080582,4.6272615,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.resortwaterweelde.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
A-Hoeve,53.2614485,6.7414699,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,http://www.a-hoeve.nl/,+31 50 302 5142,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Koekoek en de waard,53.0121012,5.6250028,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://koekoekendewaard.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
camping Buytenplaets,52.1857676,6.7910112,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Seniorencamping Donkershoeve,51.5682006,5.442506,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.donkershoeve.nl/,+31 6 13345256,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurkampeerterrein De Woldberg,52.8128359,6.1031091,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Naamloze Locatie,51.5307972,6.1293505,Limburg,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Vakantiepark Bonte Vlucht,52.0278968,5.3849494,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping 'Slootermeer',51.8994125,6.3543907,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Outdoor Valley,51.9770273,4.5367654,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Ponyboerderij camping 's Gravenhof,51.8566604,6.3110801,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Eijckelenburg,52.0735581,5.3896768,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,https://campingeijckelenburg.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Mini-camping Oes Stekkie,52.7076217,6.1502461,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.oesstekkie.nl/,+31 522 281 671,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Koaipleats,53.0464037,5.7842526,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.de-koaipleats.nl,+31 566 689 218,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
D'n Mastendol,51.5820104,4.9041668,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.mastendol.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Couwenberg,51.4141401,5.1999502,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.decouwenberg.nl/,+31 497 682 233,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Mooi Delden,52.2535932,6.7271327,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.mooidelden.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Campercamping Borgerswold,53.1060376,6.8511312,Groningen,Onbekend,Ja,Ja,Onbekend,Betaald,https://borgerswoldhoeve.nl/camperplaatsen,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Break Out Grunopark,53.2128311,6.6633385,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kastanjes,51.5704603,5.7454088,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.dekastanjes.nl,+31 492 319 403,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Ol Gat,53.3431857,6.3058396,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kanocamping.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Mini-camping De Watergeuzen,53.3567305,6.3307481,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,,+31 595 402 081,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Somerense Vennen,51.4009364,5.673339,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Bullekroffie,52.8287245,4.7906776,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.bullekroffie.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Onder de panne,52.1661788,4.9492728,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingvdpanne.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Berkebomen,52.3131294,5.5727783,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.deberkebomen.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Landgoed Vilsteren,52.5077856,6.3602835,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.natuurkampeerterreinen.nl/nl/terreinen/overijssel/landgoed-vilsteren.html,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Venema,52.9069239,5.461288,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://campingvenema.nl,+31 514 521 354,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping Heechhiem,52.853786,5.5200678,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,,+31 514 571 370,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Naamloze Locatie,51.8120703,5.658965,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
boerderijcamping 't Slag,52.542286,6.3014711,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingtslag.nl,+31 529 471 205,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Erve Beernink,52.2506743,7.0288111,Overijssel,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.ervebeernink.nl/,+31 53 538 1566,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Overbos,52.1941613,5.4405912,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.overbos-recreatiepark.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Kampeerboerderij de Zandkamp,52.2934016,5.5920731,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,http://dezandkamp.com/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Scheepstra,53.157299,6.460027,Groningen,Onbekend,Nee,Nee,Onbekend,Onbekend,,+31 50 503 2192,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping de Zoete Aagt,51.751799,5.9465465,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.dezoeteaagt.nl/,+31 6 40606415,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camperplaats Kampen,52.5528089,5.9130778,Overijssel,Onbekend,Nee,Nee,25,13.75 EUR,https://visitkampen.nl/locaties/camperplaats-kampen,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Groede,52.7301458,4.6672746,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.camping-groede.nl/index.html,+31 72 509 1555,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Graauw,51.3252845,4.1041823,Zeeland,Onbekend,Nee,Nee,1,Gratis,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kleine Wielen,53.2156878,5.8906351,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdekleinewielen.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Bolhaven,52.3342753,5.5520874,Flevoland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.jachthaven-wolderwijd.nl/camping-aan-het-water,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Bolhaven,52.3343048,5.5517278,Flevoland,Onbekend,Ja,Nee,Onbekend,16 EUR,https://www.jachthaven-wolderwijd.nl/camperplaats-aan-het-water/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Agnietenberg,52.5369212,6.1297517,Overijssel,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.campingagnietenberg.nl,+31 38 453 1530,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Eikenhof,52.8154415,5.9970994,Overijssel,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.eikenhof.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Krolsbergen,52.8157696,6.0065412,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingkrolsbergen.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
An 't Kanaal,51.5823063,5.8394505,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.antknaal.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
minicamping Aan den Esch,52.8418099,6.6034415,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Bosrand,52.0962984,5.7741937,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://minicampingdebosrand.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Lindehof,52.107029,5.7781159,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.landgoedlindehof.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Hooiberg,51.3532775,5.2240955,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.hooibergcamping.nl,+31 6 54341822,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Ganzenhof,51.3859503,5.2306004,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.ganzenhof.nl,+31 497 382 277,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Karpermolen,51.3615424,5.2294361,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.dekarpermolen.nl,+31 497 381 985,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Veerhof,52.7280439,5.0964301,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.natuurkampeerterreinen.nl/terreinen/noord-holland/veerhof/,+31 229 201 575,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Fort Spion,52.2010252,5.0431997,Utrecht,Onbekend,Nee,Nee,Onbekend,Onbekend,https://fortspion.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kleine Rug,51.8086891,4.7210139,South Holland,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.dekleinerug.nl/accommodatie.html,+31 88 099 0962,Apr 01-Oct 15,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
